ENSEMBL	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Case1	Case2	Case3	Case4	Case5	Case6	Case7	Case8
ENSG00000143409	47	33	57	84	67	62	54	95	105	130	32	33	73	100	272	106
ENSG00000162783	154	16	35	179	683	78	395	326	315	560	139	82	172	762	608	402
ENSG00000153029	59	34	51	104	94	65	80	194	91	123	42	27	80	172	261	130
ENSG00000160785	47	29	33	85	75	66	51	260	90	139	26	43	52	125	415	68
ENSG00000091483	40	25	5	28	85	62	23	52	78	220	45	46	74	72	153	63
ENSG00000117009	14	19	7	24	21	40	17	54	44	30	16	16	24	34	58	45
ENSG00000054277	12	15	13	22	22	18	6	31	17	15	16	6	8	14	27	18
ENSG00000203668	18	21	7	14	26	29	7	18	51	46	24	23	4	75	87	42
ENSG00000287513	7	5	0	7	2	7	1	1	3	3	0	0	0	2	0	0
ENSG00000054523	142	169	135	310	282	343	123	407	323	265	142	163	135	229	891	288
ENSG00000284740	7	11	21	10	9	18	16	42	9	16	1	17	14	39	11	12
ENSG00000197785	40	17	30	33	102	52	54	184	84	210	63	34	55	167	148	48
ENSG00000205090	3	1	0	2	3	10	1	17	8	11	0	7	7	38	4	5
ENSG00000160075	142	42	78	120	442	77	213	290	304	496	170	113	320	748	773	201
ENSG00000215014	12	1	3	4	9	4	17	20	20	8	6	6	39	44	23	36
ENSG00000197530	111	48	13	52	242	72	102	163	197	221	231	65	81	454	290	101
ENSG00000116128	30	21	28	63	75	130	30	147	98	49	35	49	37	53	131	83
ENSG00000229022	5	2	5	11	15	23	6	32	6	4	6	8	4	4	6	3
ENSG00000174371	48	24	20	53	30	46	18	71	46	114	29	39	26	31	30	51
ENSG00000235990	11	4	3	20	15	7	7	23	0	0	2	2	3	0	2	3
ENSG00000196289	20	23	43	110	61	34	21	84	11	6	4	6	8	19	4	10
ENSG00000213026	10	19	38	40	48	25	15	64	1	1	3	5	10	2	1	11
ENSG00000197769	12	16	70	56	75	38	31	83	6	7	12	8	14	4	7	32
ENSG00000224625	5	8	6	49	6	29	4	65	12	6	12	12	12	11	14	10
